"Source:","/home/lyes/kiwi_pcb/supply_interface/supply_interface.kicad_sch"
"Date:","Thu 04 Jun 2026 01:17:10 PM CEST"
"Tool:","Eeschema 7.0.11+dfsg-1build4"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","59"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Arrow Part Number","Arrow Price/Stock","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"1","8","C1, C2, C11, C14, C17, C20, C23, C26","100 uF","T55D107M025C0060:T55D107M025C0060","CAPPM7343X310N","https://www.mouser.in/datasheet/2/427/VISH_S_A0011791766_1-2571805.pdf","","","","Tantalum Capacitors - Polymer 100uF 25volts 20% D Case 60 Max.ESR","3.1","Vishay","T55D107M025C0060","74-T55D107M025C0060","https://www.mouser.co.uk/ProductDetail/Vishay-Sprague/T55D107M025C0060?qs=iR2ablhfrmEk%252B%2Fi%2Ffn01KQ%3D%3D"
"2","2","C3, C4","CL21A226MAYNNNE","CL21A226MAYNNNE:CL21A226MAYNNNE","CAPC2012X145N","http://product.samsungsem.com/mlcc/CL21A226MAYNNN.do","","","","Multilayer Ceramic Capacitors MLCC - SMD/SMT 22uF+/-20% 25V X5R 2012","1.45","SAMSUNG","CL21A226MAYNNNE","187-CL21A226MAYNNNE","https://www.mouser.co.uk/ProductDetail/Samsung-Electro-Mechanics/CL21A226MAYNNNE?qs=xZ%2FP%252Ba9zWqY%2FVvCfXjMhqg%3D%3D"
"3","1","C5","1744002-2","1744002-2:1744002-2","17440022","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F1744002%7FB1%7Fpdf%7FEnglish%7FENG_CD_1744002_B1.pdf%7F1744002-2","","","","","13.71","TE Connectivity","1744002-2","",""
"4","6","C9, C12, C15, C18, C21, C24","1 uF","GRM155R6YA105ME11J:GRM155R6YA105ME11J","GRM15x","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R6YA105ME11-01A.pdf","","","","","0.33","Murata Electronics","GRM155R6YA105ME11J","81-GRM155R6YA105ME1J","https://www.mouser.co.uk/ProductDetail/Murata-Electronics/GRM155R6YA105ME11J?qs=F5EMLAvA7IDJM4M38SocmA%3D%3D"
"5","6","C10, C13, C16, C19, C22, C25","22 uF","CL21A226MAYNNNE:CL21A226MAYNNNE","CAPC2012X145N","http://product.samsungsem.com/mlcc/CL21A226MAYNNN.do","","","","Multilayer Ceramic Capacitors MLCC - SMD/SMT 22uF+/-20% 25V X5R 2012","1.45","SAMSUNG","CL21A226MAYNNNE","187-CL21A226MAYNNNE","https://www.mouser.co.uk/ProductDetail/Samsung-Electro-Mechanics/CL21A226MAYNNNE?qs=xZ%2FP%252Ba9zWqY%2FVvCfXjMhqg%3D%3D"
"6","5","D1, D2, D3, D4, D5","TVS 12V","ATV02W150-HF:ATV02W150-HF","SODFL3718X130N","https://www.comchiptech.com/admin/files/product/ATV02W-HF%20series%20RevC.pdf","","","","","1.3","Comchip Technology","ATV02W150-HF","750-ATV02W150-HF","https://www.mouser.co.uk/ProductDetail/Comchip-Technology/ATV02W150-HF?qs=vdiGlTBG6JsN1%252BHxsccr7w%3D%3D"
"7","1","D6","SMF6V0TR","SMF6V0TR:SMF6V0TR","SMF6V0TR","https://fscdn.rohm.com/en/products/databook/datasheet/discrete/diode/zener/smf6v0tr-e.pdf","","","","","0.9","ROHM Semiconductor","SMF6V0TR","755-SMF6V0TR","https://www.mouser.co.uk/ProductDetail/ROHM-Semiconductor/SMF6V0TR/?qs=HXFqYaX1Q2yrPonInUPTeA%3D%3D"
"8","1","D7","DFLT27A-7","DFLT27A-7:DFLT27A-7","DFLT27A7","https://www.diodes.com//assets/Datasheets/DFLT5V0A_DFLT220A.pdf","","","","","1","Diodes Incorporated","DFLT27A-7","621-DFLT27A-7","https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/DFLT27A-7?qs=6ARB0lp6jlVvGDG5Fitq6g%3D%3D"
"9","1","F1","SF-0603S100-2","SF-0603S100-2:SF-0603S100-2","FUSC1608X55N","https://www.arrow.com/en/products/sf-0603s100-2/bourns","","","","","0.55","Bourns","SF-0603S100-2","652-SF-0603S100-2","https://www.mouser.co.uk/ProductDetail/Bourns/SF-0603S100-2?qs=GIQXYiEeHGDLNhFbhYWnxw%3D%3D"
"10","1","F2","3403.0157.24","3403.0157.24:3403.0157.24","3403015724","https://www.schurter.com/en/datasheet/UMT_250","","","","","3","SCHURTER","3403.0157.24","693-3403.0157.24","https://www.mouser.co.uk/ProductDetail/Schurter/3403015724/?qs=NiH9xeYC%252BKjhNprJ4TsRCQ%3D%3D"
